da-go team
Benchmark benchmark/b_1.txt: 0.120147
Benchmark benchmark/b_2.txt: 0.117722
Benchmark benchmark/b_3.txt: 0.12361
Benchmark benchmark/b_4.txt: 0.152927
Benchmark benchmark/b_5.txt: 0.151146

Benchmark benchmark/b_1-.txt: 0.079723
Benchmark benchmark/b_2-.txt: 0.077103
Benchmark benchmark/b_3-.txt: 0.082449
Benchmark benchmark/b_4-.txt: 0.097172
Benchmark benchmark/b_5-.txt: 0.095994

Predatory Butterflies
Benchmark benchmark/b_1.txt: 0.258648
Benchmark benchmark/b_2.txt: 0.259392
Benchmark benchmark/b_3.txt: 0.267434
Benchmark benchmark/b_4.txt: 0.707673
Benchmark benchmark/b_5.txt: 0.881251

Benchmark benchmark/b_1-.txt: 0.025723
Benchmark benchmark/b_2-.txt: 0.026224
Benchmark benchmark/b_3-.txt: 0.026865
Benchmark benchmark/b_4-.txt: 0.069159
Benchmark benchmark/b_5-.txt: 0.0908

streaking-sweat-cult
Benchmark benchmark/b_1.txt: 20.6885
Benchmark benchmark/b_2.txt: 17.1501
Benchmark benchmark/b_3.txt: 21.3278
Benchmark benchmark/b_4.txt: 55.1833
Benchmark benchmark/b_5.txt: 57.4637

Benchmark benchmark/b_1-.txt: 2.24184
Benchmark benchmark/b_2-.txt: 1.84575
Benchmark benchmark/b_3-.txt: 2.28259
Benchmark benchmark/b_4-.txt: 6.56285
Benchmark benchmark/b_5-.txt: 7.07863

Pedro
Benchmark benchmark/b_1.txt: 0.01063
Benchmark benchmark/b_2.txt: 0.008764
Benchmark benchmark/b_3.txt: 0.010484
Benchmark benchmark/b_4.txt: 0.00928
Benchmark benchmark/b_5.txt: 0.00697

Benchmark benchmark/b_1-.txt: 0.011274
Benchmark benchmark/b_2-.txt: 0.009808
Benchmark benchmark/b_3-.txt: 0.011234
Benchmark benchmark/b_4-.txt: 0.011145
Benchmark benchmark/b_5-.txt: 0.00943
